,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
612,Luguentz Dort,OKC,SG,"$155,647.00","$406,678.31",20.0,7.6,244.0,36.0,820.0,27.0,31.0,4.0
587,Ky Bowman,GSW,PG,"$350,189.00","$2,282,389.41",22.0,9.1,335.0,45.0,1015.0,131.0,44.0,10.0
545,Eric Paschall,GSW,PF,"$898,310.00","$6,786,466.05",23.0,14.5,837.0,60.0,1654.0,127.0,32.0,13.0
606,PJ Dozier,DEN,PG,"$183,115.00","$3,877,371.69",23.0,11.6,168.0,29.0,412.0,63.0,14.0,6.0
530,Devonte' Graham,CHO,PG,"$1,416,852.00","$13,626,632.08",24.0,15.8,1145.0,63.0,2211.0,471.0,62.0,15.0
565,Damion Lee,GSW,SG,"$842,327.00","$9,814,988.16",27.0,12.7,621.0,49.0,1423.0,133.0,50.0,6.0
483,Dillon Brooks,MEM,SG,"$1,618,520.00","$8,274,959.04",24.0,11.3,1181.0,73.0,2112.0,150.0,63.0,27.0
521,Kendrick Nunn,MIA,SG,"$1,416,852.00","$8,504,366.73",24.0,12.9,1024.0,67.0,1962.0,220.0,56.0,15.0
567,Marquese Chriss,GSW,PF,"$758,804.00","$5,847,974.29",22.0,19.5,548.0,59.0,1196.0,114.0,39.0,62.0
520,Duncan Robinson,MIA,SF,"$1,416,852.00","$7,466,972.54",25.0,13.1,983.0,73.0,2166.0,102.0,35.0,19.0
556,Terence Davis,TOR,SG,"$898,310.00","$-1,226,769.09",22.0,13.8,543.0,72.0,1209.0,115.0,39.0,14.0
374,Pascal Siakam,TOR,PF,"$2,351,839.00","$17,303,492.87",25.0,17.9,1371.0,60.0,2110.0,207.0,61.0,53.0
574,Timothé Luwawu-Cabarrot,BRK,SG,"$654,468.00","$2,603,293.53",24.0,11.0,365.0,47.0,853.0,29.0,18.0,7.0
476,Christian Wood,DET,PF,"$1,645,357.00","$9,607,898.46",24.0,23.2,810.0,62.0,1325.0,60.0,34.0,54.0
291,Donovan Mitchell,UTA,SG,"$3,635,760.00","$15,804,819.62",23.0,18.8,1655.0,69.0,2364.0,294.0,70.0,14.0
477,Furkan Korkmaz,PHI,SG,"$1,620,564.00","$604,546.14",22.0,12.0,704.0,72.0,1559.0,79.0,41.0,16.0
493,Monte Morris,DEN,PG,"$1,588,231.00","$3,832,284.78",24.0,14.9,660.0,73.0,1636.0,255.0,55.0,17.0
398,Carmelo Anthony,POR,PF,"$2,159,029.00","$17,789,513.57",35.0,12.4,895.0,58.0,1902.0,85.0,49.0,27.0
426,Kyle Kuzma,LAL,PF,"$1,974,600.00","$5,852,825.54",24.0,12.2,782.0,61.0,1526.0,80.0,28.0,26.0
577,Brandon Goodwin,ATL,PG,"$522,738.00","$3,493,445.15",24.0,11.6,206.0,34.0,430.0,51.0,12.0,4.0
430,Derrick White,SAS,SG,"$1,948,080.00","$8,682,800.11",25.0,16.4,765.0,68.0,1677.0,241.0,44.0,59.0
494,Mitchell Robinson,NYK,C,"$1,559,712.00","$8,778,213.51",21.0,23.5,590.0,61.0,1412.0,36.0,52.0,119.0
526,Bruce Brown,DET,SG,"$1,416,852.00","$5,480,324.62",23.0,11.9,517.0,58.0,1634.0,230.0,63.0,29.0
